Chemical_ID,End_Point,X_vals,Y_vals
1515,AXIS,NULL,NULL
1515,BRN_,NULL,NULL
1515,CRAN,NULL,NULL
1515,EDEM,NULL,NULL
1515,LTRK,NULL,NULL
1515,MUSC,NULL,NULL
1515,NC__,NULL,NULL
1515,SKIN,NULL,NULL
1515,TCHR,NULL,NULL
1519,AXIS,NULL,NULL
1519,BRN_,NULL,NULL
1519,CRAN,NULL,NULL
1519,EDEM,NULL,NULL
1519,LTRK,NULL,NULL
1519,MUSC,NULL,NULL
1519,NC__,NULL,NULL
1519,SKIN,NULL,NULL
1519,TCHR,NULL,NULL
101,ANY120,NULL,NULL
101,AXIS,NULL,NULL
101,ALL_BUT_MORT,NULL,NULL
101,BRN_,NULL,NULL
101,CRAN,NULL,NULL
101,DP24,NULL,NULL
101,EDEM,NULL,NULL
101,MORT,NULL,NULL
101,MUSC,NULL,NULL
101,NC__,NULL,NULL
101,NC24,NULL,NULL
101,SKIN,NULL,NULL
101,SM24,NULL,NULL
101,TCHR,NULL,NULL
102,NC__,NULL,NULL
102,NC24,NULL,NULL
102,SKIN,NULL,NULL
102,SM24,NULL,NULL
103,MO24,NULL,NULL
103,NC__,NULL,NULL
103,NC24,NULL,NULL
103,SKIN,NULL,NULL
103,SM24,NULL,NULL
792,ANY24,NULL,NULL
792,BRN_,NULL,NULL
792,CRAN,NULL,NULL
792,DP24,NULL,NULL
792,EDEM,NULL,NULL
792,LTRK,NULL,NULL
792,MO24,NULL,NULL
792,MUSC,NULL,NULL
792,SKIN,NULL,NULL
792,SM24,NULL,NULL
792,TCHR,NULL,NULL
793,BRN_,NULL,NULL
793,CRAN,NULL,NULL
793,MUSC,NULL,NULL
793,SKIN,NULL,NULL
793,SM24,NULL,NULL
793,TCHR,NULL,NULL
794,ANY24,NULL,NULL
794,BRN_,NULL,NULL
794,CRAN,NULL,NULL
794,DP24,NULL,NULL
794,EDEM,NULL,NULL
794,MO24,NULL,NULL
794,MUSC,NULL,NULL
794,SKIN,NULL,NULL
794,SM24,NULL,NULL
794,TCHR,NULL,NULL
795,AXIS,NULL,NULL
795,ALL_BUT_MORT,NULL,NULL
795,BRN_,NULL,NULL
795,CRAN,NULL,NULL
795,EDEM,NULL,NULL
795,LTRK,NULL,NULL
795,MO24,NULL,NULL
795,MUSC,NULL,NULL
795,NC__,NULL,NULL
795,NC24,NULL,NULL
795,SKIN,NULL,NULL
795,SM24,NULL,NULL
795,TCHR,NULL,NULL
796,BRN_,NULL,NULL
796,CRAN,NULL,NULL
796,EDEM,NULL,NULL
796,MO24,NULL,NULL
796,MUSC,NULL,NULL
796,SKIN,NULL,NULL
796,SM24,NULL,NULL
796,TCHR,NULL,NULL
1035,ANY24,NULL,NULL
1035,ANY120,NULL,NULL
1035,AXIS,NULL,NULL
1035,ALL_BUT_MORT,NULL,NULL
1035,BRN_,NULL,NULL
1035,CRAN,NULL,NULL
1035,DP24,NULL,NULL
1035,EDEM,NULL,NULL
1035,LTRK,NULL,NULL
1035,MO24,NULL,NULL
1035,MORT,NULL,NULL
1035,MUSC,NULL,NULL
1035,NC__,NULL,NULL
1035,NC24,NULL,NULL
1035,SKIN,NULL,NULL
1035,SM24,NULL,NULL
1035,TCHR,NULL,NULL
1035,TOT_MORT,NULL,NULL
1036,NC24,NULL,NULL
1036,SKIN,NULL,NULL
1036,SM24,NULL,NULL
1037,MO24,NULL,NULL
1037,NC__,NULL,NULL
1037,NC24,NULL,NULL
1037,SKIN,NULL,NULL
1037,SM24,NULL,NULL
1037,TOT_MORT,NULL,NULL
1038,MORT,NULL,NULL
1038,MUSC,NULL,NULL
1038,NC__,NULL,NULL
1038,NC24,NULL,NULL
1038,SKIN,NULL,NULL
1038,SM24,NULL,NULL
1038,TOT_MORT,NULL,NULL
1514,ANY120,NULL,NULL
1514,AXIS,NULL,NULL
1514,ALL_BUT_MORT,NULL,NULL
1514,BRN_,NULL,NULL
1514,CRAN,NULL,NULL
1514,EDEM,NULL,NULL
1514,LTRK,NULL,NULL
1514,MORT,NULL,NULL
1514,MUSC,NULL,NULL
1514,NC__,NULL,NULL
1514,NC24,NULL,NULL
1514,SKIN,NULL,NULL
1514,SM24,NULL,NULL
1514,TCHR,NULL,NULL
1514,TOT_MORT,NULL,NULL
1515,NC24,NULL,NULL
1515,SM24,NULL,NULL
1516,NC__,NULL,NULL
1516,NC24,NULL,NULL
1516,SKIN,NULL,NULL
1516,SM24,NULL,NULL
1516,TCHR,NULL,NULL
1517,MO24,NULL,NULL
1517,NC__,NULL,NULL
1517,NC24,NULL,NULL
1517,SKIN,NULL,NULL
1517,SM24,NULL,NULL
1518,ANY24,NULL,NULL
1518,ANY120,NULL,NULL
1518,AXIS,NULL,NULL
1518,ALL_BUT_MORT,NULL,NULL
1518,BRN_,NULL,NULL
1518,CRAN,NULL,NULL
1518,DP24,NULL,NULL
1518,EDEM,NULL,NULL
1518,LTRK,NULL,NULL
1518,MO24,NULL,NULL
1518,MORT,NULL,NULL
1518,MUSC,NULL,NULL
1518,NC__,NULL,NULL
1518,NC24,NULL,NULL
1518,SKIN,NULL,NULL
1518,SM24,NULL,NULL
1518,TOT_MORT,NULL,NULL
1519,NC24,NULL,NULL
1519,SM24,NULL,NULL
1520,NC__,NULL,NULL
1520,NC24,NULL,NULL
1520,SKIN,NULL,NULL
1520,SM24,NULL,NULL
1521,MUSC,NULL,NULL
1521,NC__,NULL,NULL
1521,NC24,NULL,NULL
1521,SKIN,NULL,NULL
1521,SM24,NULL,NULL
1521,TCHR,NULL,NULL
2677,ANY24,NULL,NULL
2677,ANY120,NULL,NULL
2677,AXIS,NULL,NULL
2677,ALL_BUT_MORT,NULL,NULL
2677,BRN_,NULL,NULL
2677,CRAN,NULL,NULL
2677,DP24,NULL,NULL
2677,EDEM,NULL,NULL
2677,LTRK,NULL,NULL
2677,MO24,NULL,NULL
2677,MUSC,NULL,NULL
2677,NC__,NULL,NULL
2677,NC24,NULL,NULL
2677,SKIN,NULL,NULL
2677,SM24,NULL,NULL
2678,ANY24,NULL,NULL
2678,ANY120,NULL,NULL
2678,AXIS,NULL,NULL
2678,BRN_,NULL,NULL
2678,CRAN,NULL,NULL
2678,DP24,NULL,NULL
2678,EDEM,NULL,NULL
2678,MO24,NULL,NULL
2678,MUSC,NULL,NULL
2678,NC__,NULL,NULL
2678,NC24,NULL,NULL
2678,SM24,NULL,NULL
2678,TCHR,NULL,NULL
2679,ANY24,NULL,NULL
2679,DP24,NULL,NULL
2679,MO24,NULL,NULL
2679,MUSC,NULL,NULL
2679,NC__,NULL,NULL
2679,NC24,NULL,NULL
2679,SM24,NULL,NULL
2680,ANY24,NULL,NULL
2680,ANY120,NULL,NULL
2680,AXIS,NULL,NULL
2680,ALL_BUT_MORT,NULL,NULL
2680,DP24,NULL,NULL
2680,MO24,NULL,NULL
2680,MUSC,NULL,NULL
2680,NC__,NULL,NULL
2680,SM24,NULL,NULL
2681,ANY120,NULL,NULL
2681,AXIS,NULL,NULL
2681,ALL_BUT_MORT,NULL,NULL
2681,BRN_,NULL,NULL
2681,CRAN,NULL,NULL
2681,EDEM,NULL,NULL
2681,LTRK,NULL,NULL
2681,MORT,NULL,NULL
2681,MUSC,NULL,NULL
2681,NC24,NULL,NULL
2681,SM24,NULL,NULL
2681,TCHR,NULL,NULL
2681,TOT_MORT,NULL,NULL
2682,ANY24,NULL,NULL
2682,ANY120,NULL,NULL
2682,AXIS,NULL,NULL
2682,ALL_BUT_MORT,NULL,NULL
2682,BRN_,NULL,NULL
2682,CRAN,NULL,NULL
2682,EDEM,NULL,NULL
2682,LTRK,NULL,NULL
2682,MO24,NULL,NULL
2682,MUSC,NULL,NULL
2682,SKIN,NULL,NULL
2682,SM24,NULL,NULL
2682,TCHR,NULL,NULL
2682,TOT_MORT,NULL,NULL
2695,AXIS,NULL,NULL
2695,BRN_,NULL,NULL
2695,MUSC,NULL,NULL
2695,NC__,NULL,NULL
2695,SKIN,NULL,NULL
2695,TCHR,NULL,NULL
2696,MO24,NULL,NULL
2696,MUSC,NULL,NULL
2696,NC__,NULL,NULL
2697,ANY24,NULL,NULL
2697,DP24,NULL,NULL
2697,MO24,NULL,NULL
2697,MORT,NULL,NULL
2697,MUSC,NULL,NULL
2697,NC__,NULL,NULL
2697,SM24,NULL,NULL
2697,TOT_MORT,NULL,NULL
2698,ANY120,NULL,NULL
2698,AXIS,NULL,NULL
2698,ALL_BUT_MORT,NULL,NULL
2698,BRN_,NULL,NULL
2698,DP24,NULL,NULL
2698,LTRK,NULL,NULL
